KEY,Vietnamese,English
ReflectPassive_level3_des,Phản lại [ReflectReceiveDmgEffect_param1_2]% sát thương,Reflected damage is increased to [ReflectReceiveDmgEffect_param1_2]%
GreatestShield,Hàn Băng Chân Khí,Greatest Shield
GreatestShield_des,"Dùng nội lực tạo hộ thể chân khí cho toàn đội, đỡ được sát thương bằng [param1_0]% Sức Tấn Công của Du Thản Chi. Khi hộ thể chân khí vỡ, gây sát thương diện rộng bằng [param2_0]% Sức Tấn Công. Hộ Thể Chân Khí tồn tại 5s.","Creates shields for your team that block an amount of damage equal to [param1_0]% of Hero’s ATK and, when broken, deal [param2_0]% AOE damage"
GreatestShield_level2_des,Tăng lượng sát thương chắn được của hộ thể chân khí lên thành [param1_1]% Sức Tấn Công,Blocked damage is now equal to [param1_1]% ATK
GreatestShield_level3_des,Tăng sát thương khi Chân khí vỡ lên thành [param2_2]% Sức Tấn Công,"When shield is broken, damage dealt is increased to [param2_2]% ATK"
GreatestShield_level4_des,Hộ Thể Chân Khí tồn tại 7s,
DarkArmor,Du Già Công,Dark Armor
DarkArmor_des,Sát thương nhận vào 1 đòn không thể vượt quá [DarkArmorEffect_param1_0]% Sinh lực tối đa của Du Thản Chi,Received damage from 1 hit cannot exceed [DarkArmorEffect_param1_0]% of Hero’s MAX HP
DarkArmor_level2_des,Không thể vượt quá [DarkArmorEffect_param1_1]% Sinh lực tối đa,Received damage now cannot exceed [DarkArmorEffect_param1_1]% MAX HP
DarkArmor_level3_des,Không thể vượt quá [DarkArmorEffect_param1_2]% Sinh lực tối đa,Received damage now cannot exceed [DarkArmorEffect_param1_2]% MAX HP
Weakness,Băng Tằm Hàn Độc,Weakness
Weakness_des,Làm kẻ địch dính hiệu ứng Suy yếu - Giảm [ReduceSendingDmgEffect_param1_0]% Sức Tấn Công trong [ReduceSendingDmgEffect_duration_0]s,"Inflicts Weakness status upon an enemy, reducing their damage dealt by [ReduceSendingDmgEffect_param1_0]% for [ReduceSendingDmgEffect_duration_0] s"
Weakness_level2_des,Suy yếu đồng thời 2 kẻ địch,Number of enemies affected at once is increased to 2
Weakness_level3_des,Tăng thời gian tác dụng lên thành [ReduceSendingDmgEffect_duration_2]s,Effect duration is increased to [ReduceSendingDmgEffect_duration_2] s
ShockPunch,Song Sao Phong Thiên,Shock Punch
ShockPunch_des,"Đấm 2 tay vào kẻ địch, gây sát thương bằng [param1_0]% Sức Tấn Công vào làm kẻ địch ngã ra [KnockBackEffect_duration_0]s","Hero punches an enemy with both fists, dealing [param1_0]% damage and knocking them back for [KnockBackEffect_duration_0] s"
ShockPunch_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
ShockPunch_level3_des,Tăng thời gian ngã ra của kẻ địch lên thành [KnockBackEffect_duration_2]s,Knockback duration is increased to [KnockBackEffect_duration_2] s
ManaBlast,Khí Thôn Thiên Hạ,Mana Blast
ManaBlast_des,Dùng nội lực chấn động toàn bản đồ - gây sát thương bằng [param1_0]% Sức Tấn Công cho toàn quân địch và hồi sinh lực cho toàn bộ đồng đội theo [param2_0]% sát thương.,"Creates a Mana explosion that deals [param1_0]% damage to all enemies, while also healing all allies"
ManaBlast_level2_des,Tăng Sát Thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
ManaBlast_level3_des,Tăng Sát Thương lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
ManaBlast_level4_des,Bản thân và đồng đội được tăng [param3_3]% Sức Tấn Công trong 4s.,
SpiritRise,Tà Ma Quần Vũ,Spirit Rise
SpiritRise_des,Phóng ám kình bám vào một kẻ địch ngẫu nhiên trong [ReceiveDPSEffect_duration_0]s. Ám kình làm kẻ địch bị phế võ công và gây sát thương bằng [param1_0]% Sức Tấn Công mỗi 2s,"Releases a Spirit that attaches to an enemy for [ReceiveDPSEffect_duration_0] s, inflicting Silence and dealing [param1_0]% damage every 2 s"
SpiritRise_level2_des,Tăng thời gian tồn tại của ám kình lên thành [ReceiveDPSEffect_duration_1]s,Spirit duration increases to [ReceiveDPSEffect_duration_1] s
SpiritRise_level3_des,Thả đồng thời 2 ám kình vào 2 kẻ địch,Releases 2 Spirits attacking 2 enemies
LightningStrike,Lôi Động Cửu Thiên,Lightning Strike
LightningStrike_des,"Nội lực như điện giật, khiến đội hình kẻ địch trúng [param4_0] chiêu ngẫu nhiên. Mỗi chiêu gây sát thương bằng [param1_0]% Sức Tấn Công cho 1 kẻ địch","Casts [param4_0] lightning bolts randomly upon enemy party, each dealing [param1_0]% damage"
LightningStrike_level2_des,Mỗi chiêu có tỉ lệ [param3_1]% làm choáng [StunEffect_duration_1]s,Each lightning bolt has a [param3_1]% chance to stun the enemy for [StunEffect_duration_1] s
LightningStrike_level3_des,Tăng số chiêu lên thành [param4_2],Number of lightning bolts increases to [param4_2]
MagicDrain,Hấp Tinh Đại Pháp,Magic Drain
MagicDrain_des,Nhậm Ngã Hành được hồi Sinh Lực bằng [MagicDrainEffect_param1_0]% lượng sát thương chiêu thức gây ra,Recovers an amount of HP equal to [MagicDrainEffect_param1_0]% skill damage dealt
MagicDrain_level2_des,Tăng [AddSendingMagicDmgEffect_param1_0]% sát thương chiêu thức,Skill damage is increased by [AddSendingMagicDmgEffect_param1_0]%
MagicDrain_level3_des,Hồi Sinh Lực bằng [MagicDrainEffect_param1_2]% lượng sát thương chiêu thức gây ra,Amount of HP recovered is now equal to [MagicDrainEffect_param1_2]% skill damage dealt
Ravage,Tiêu Dao Thần Kiếm,Ravage
Ravage_des,"Phạm Dao cắm kiếm xuống đất, kiếm khí từ dưới đất phóng lên gây sát thương cho toàn bộ kẻ địch bằng [param1_0]% Sức Tấn Công và làm choáng [StunEffect_duration_0]s","Hero jumps up to rain knives down upon enemies, dealing [param1_0]% damage and inflicting stun for [StunEffect_duration_0] s"
Ravage_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
Ravage_level3_des,Tăng thời gian làm choáng lên thành [StunEffect_duration_2]s,Stun duration is increased to [StunEffect_duration_2] s
Ravage_level4_des,Sát thương tăng thành [param1_3]%,
Burrow,Thiên Địa Càn Khôn,Burrow
Burrow_des,"Độn thổ chui xuống đất, lao vào kẻ địch ở xa nhất - gây sát thương bằng [param1_0]% Sức Tấn Công và làm choáng [StunEffect_duration_0]s","Hero burrows into the ground to reach the furthest enemy, dealing [param1_0]% damage and inflicting stun for [StunEffect_duration_0] s"
Burrow_level2_des,Tăng thời gian làm choáng lên thành [StunEffect_duration_1]s,Stun duration is increased to [StunEffect_duration_1] s
Burrow_level3_des,Tăng sát thương lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
StoneSkin,Khổ Đầu Đà,Stone Skin
StoneSkin_des,Kẻ địch khi đánh tay vào Phạm Dao có tỉ lệ [StoneSkinEffect_param1_0]% bị choáng trong [StoneSkinEffect_param2_0]s,"When receiving normal attacks, grants a [StoneSkinEffect_param1_0]% chance of stunning enemies for [StoneSkinEffect_param2_0] s"
StoneSkin_level2_des,Tăng tỉ lệ lên thành [StoneSkinEffect_param1_1]%,Stun chance is increased to [StoneSkinEffect_param1_1]%
StoneSkin_level3_des,Tăng tỉ lệ lên thành [StoneSkinEffect_param1_2]%,Stun chance is increased to [StoneSkinEffect_param1_2]%
WeakPointAttack,Như Ảnh Tùy Hình,Weak Point Attack
WeakPointAttack_des,Phạm Dao khi tấn công vào kẻ địch đang bị choáng sẽ được tăng sát thương bằng [WeakPointAttackEffect_param1_0]% Sức Tấn Công,"When attacking a stunned enemy, ATK is increased by [WeakPointAttackEffect_param1_0]%"
WeakPointAttack_level2_des,Tăng [WeakPointAttackEffect_param1_1]% Sức Tấn Công khi tấn công vào kẻ địch đang bị choáng,"When attacking a stunned enemy, ATK is increased by [WeakPointAttackEffect_param1_1]%"
WeakPointAttack_level3_des,Tăng [WeakPointAttackEffect_param1_2]% Sức Tấn Công khi tấn công vào kẻ địch đang bị choáng,"When attacking a stunned enemy, ATK is increased by [WeakPointAttackEffect_param1_2]%"
Swallow,Ngự Kiếm Phục Ma,Swallow
Swallow_des,"Phong ấn kẻ địch bằng kiếm trận trong [HexEffect_duration_0]s, khiến địch không thể tấn công cũng như bị tấn công. Trong thời gian đó, sát thương Độc Cô Cầu Bại nhận vào sẽ chia đôi với kẻ địch trong phong ấn.","Hero’s mouth opens wide to swallow an enemy for [DisappearEffect_duration_0] s, during which time half of received damage is shared to the swallowed enemy"
Swallow_level2_des,Độc Cô Cầu Bại nhận được tăng sát thương bằng 100% Sức Tấn Công của kẻ địch trong phong ấn.,ATK is increased by 100% ATK of swallowed enemy
Swallow_level3_des,Tăng thời gian tác dụng lên [HexEffect_duration_2]s,Effect duration increases by [DisappearEffect_duration_2] s
Swallow_level4_des,"Kẻ địch nhận 70% sát thương, Độc Cô Cầu Bại nhận 30% sát thương, đồng thời tăng [RaiseStatusResEffect_param1_3]% Kháng Trạng Thái Xấu cho bản thân trong 6s",
RollingBall,Độc Cô Cửu Kiếm,Rolling Ball
RollingBall_des,Độc Cô Cầu Bại lao thẳng về phía trước với những thanh kiếm xoay quanh người gây sát thương bằng [param1_0]% Sức Tấn Công và làm ngã kẻ địch. Trong lúc phi thân kháng toàn bộ hiệu ứng xấu,"Hero curls into a ball and rolls forward, dealing [param1_0]% damage and knocking out all enemies along the way, while also granting self-immunity to all negative statuses"
RollingBall_level2_des,"Trong khi phi thân, [ModifyReceiveNormalAttackDmgEffect_param1_1]% mọi loại sát thương nhận vào","While rolling, all damage received is reduced by [ModifyReceiveNormalAttackDmgEffect_param1_1]%"
RollingBall_level3_des,Tăng sát thương lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
Absorb,Bất Diệt Tâm Pháp,Absorb
Absorb_des,Các kẻ địch đứng cạnh Độc Cô Cầu Bại bị hút [AbsorbMaxHPEffect_param1_0]% Sinh Lực mỗi 1s,Absorbs [AbsorbMaxHPEffect_param1_0]% HP/s of enemies positioned next to Hero
Absorb_level2_des,Các kẻ địch bị giảm [AbsorbMaxHPEffect_param3_1]% Sức Tấn Công,Reduces enemies’ ATK by [AbsorbMaxHPEffect_param3_1]%
Absorb_level3_des,"Khi Độc Cô Cầu Bại có Sinh Lực dưới [AbsorbMaxHPEffect_param4_2]%, tăng lượng Sinh Lực hút mỗi giây thêm [AbsorbMaxHPEffect_param5_2]%","When HP is lower than [AbsorbMaxHPEffect_param4_2]%, increases absorption to [AbsorbMaxHPEffect_param5_2]% HP/s"
DefenseBall,Nhân Kiếm Hợp Nhất,Defense Ball
DefenseBall_des,"Khi Sinh Lực dưới [param1_0]%, Độc Cô Cầu Bại trở thành thanh kiếm - giảm [ModifyReceiveSkillDmgEffect_param1_0]% mọi sát thương nhận vào. Trở về trạng thái bình thường khi Sinh Lực lớn hơn [param2_0]%. Trong thời gian hóa kiếm thì kháng mọi hiệu ứng xấu. Khi trở lại bình thường thì cần đợi [param3_0]s mới có thể biến hình lần nữa.","When HP is lower than [param1_0]%, attacks are halted in place of a defensive stance, reducing [ModifyReceiveSkillDmgEffect_param1_0]% of all damage received until HP is greater than [param2_0]%"
DefenseBall_level2_des,"Trong trạng thái Nhân Kiếm Hợp Nhất, hồi [RegenerateManaIntervalEffect_param1_0] Nội Lực mỗi giây","In defensive stance, recovers [RegenerateManaIntervalEffect_param1_0] Mana/s"
DefenseBall_level3_des,Giảm [ModifyReceiveSkillDmgEffect_param1_2]% mọi sát thương nhận vào,All damage is received reduced by [ModifyReceiveSkillDmgEffect_param1_2]%
DragonHand,Hồi Phong Đoạt Nguyệt,Dragon Claw
DragonHand_des,"Cắm kiếm xuống đất, 2 kẻ địch bị kiếm khí đâm vào người trong [channelingTime]s, gây sát thương bằng [param1_0]% Sức Tấn Công mỗi giây","Strike through the ground, and grab 2 enemies in [LiftUpEffect_duration_0]s, deal [param1_0]% damage per sec"
DragonHand_level2_des,Tăng Sát Thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
DragonHand_level3_des,Thời gian tác dụng tăng lên thành [LiftUpEffect_duration_2]s,Effect time increased to [LiftUpEffect_duration_2]s
DragonHand_level4_des,Mỗi giây phục hồi lại sinh lực cho bản thân theo [param4_3]% tổng sát thương gây ra cho kẻ địch.,
SoulStrike,Hồn Tán Phách Phi,Soul Strike
SoulStrike_des,"Bạch Phát Ma Nữ rút [param2_0]% Sinh Lực của mỗi đồng đội, tạo thành một kiếm khí với tổng lượng sát thương bằng [param1_0]% Sức Tấn Công +  [param3_0]% (số Sinh Lực của đồng đội)","Absorbs [param2_0]% HP from each ally, forming a ball of energy that deals damage equal to [param1_0]% ATK plus [param3_0]% of combined ally HP"
SoulStrike_level2_des,Kiếm Khí làm kẻ địch bị ngã ra [KnockBackEffect_duration_0]s,Enemy is knocked down for [KnockBackEffect_duration_0] s
SoulStrike_level3_des,Tăng lượng sát thương lên thành : [param1_2]% Sức Tấn Công +  [param3_2]% (số Sinh Lực của đồng đội),Damage is increased to an amount equal to [param1_2]% ATK plus [param3_2]% of allies’ HP
MindControl,Tá Đao Sát Nhân,Mind Control
MindControl_des,"Làm nhiễu loạn tâm trí của kẻ địch, khiến hắn nghe lời Bạch Phát Ma Nữ trong [MindControlEffect_duration_0]s. Kẻ bị thu phục chỉ đánh tay, không dùng được võ công","Takes control of an enemy for [MindControlEffect_duration_0] s, rendering them unable to cast any skills"
MindControl_level2_des,Tăng thời gian nhiễu loạn tâm trí lên [MindControlEffect_duration_1]s,Effect duration is increased to [MindControlEffect_duration_1] s
MindControl_level3_des,Kẻ bị thu phục có thể sử dụng võ công (Trừ nộ chiêu),Controlled enemy can cast skills (except Ultimate)
AutoShield,Quỷ Phụ Hồn Triền,Auto Shield
AutoShield_des,"Bạch Phát Ma Nữ dùng chân khí để hộ thân,  chắn được lượng sát thương bằng [param1_0]% Sức Tấn Công. Sau khi chân khí tán đi, tự động tạo lại mỗi [param2_0]s",Creates a shield that blocks an amount of damage equal to [param1_0]% ATK and automatically regenerates after [param2_0] s when broken
AutoShield_level2_des,"Sau khi chân khí tán đi, tự động tạo lại mỗi [param2_1]s","If shield is broken, it will regenerate after [param2_1] s"
AutoShield_level3_des,"Sau khi chân khí tán đi, tự động tạo lại mỗi [param2_2]s","If shield is broken, it will regenerate after [param2_2] s"
SoulSplit,Bát Hoang Lục Hợp,Soul Split
SoulSplit_des,Dùng kình khí tạo ra ảnh ảo của bản thân trong [param3_0]s. Ảnh ảo có [param2_0]% Sức Tấn Công và [param1_0]% Sinh Lực. Ảnh ảo có đầy đủ võ công,"Hero splits into twin illusions lasting [param3_0] s, each one possessing [param2_0]% ATK and [param1_0]% HP, as well as all skills"
SoulSplit_level2_des,Ảnh ảo có [param2_1]% Sức Tấn Công và [param1_1]% Sinh Lực,Grants each illusion [param2_1]% ATK and [param1_1]% HP
SoulSplit_level3_des,Ảnh ảo có [param2_2]% Sức Tấn Công và [param1_2]% Sinh Lực,Grants each illusion [param2_2]% ATK and [param1_2]% HP
SoulSplit_level4_des,Ảnh ảo có [param1_3]% Sinh Lực,
SoulBurn,Duy Ngã Độc Tôn,Soul Burn
SoulBurn_des,Mỗi phát đánh có tỉ lệ [param1_0]% gây tổn thương nguyên khí của kẻ địch - mất [param2_0]% Sinh Lực,"Each attack has a [param1_0]% chance to cripple the enemy’s soul, causing them to lose [param2_0]% HP"
SoulBurn_level2_des,Tăng tỉ lệ lên thành [param1_1]%,Chance is increased to [param1_1]%
SoulBurn_level3_des,Tăng tỉ lệ lên thành [param1_2]%,Chance is increased to [param1_2]%
SoulEater,Trường Sinh Công,Soul Eater
SoulEater_des,"Mỗi khi có 1 nhân sĩ tử nạn, Thiên Sơn Đồng Lão được hồi lại [HealWhenOtherDeadEffect_param1_0]% Sinh Lực","Each time a Hero dies, recovers [HealWhenOtherDeadEffect_param1_0]% HP"
SoulEater_level2_des,"Mỗi khi có 1 nhân sĩ tử nạn, Thiên Sơn Đồng Lão được tăng [RaiseMaxHPWhenOtherDeadEffect_param1_1]% Sinh Lực Tối Đa","Each time a Hero dies, MAX HP is increased by [RaiseMaxHPWhenOtherDeadEffect_param1_1]%"
SoulEater_level3_des,"Mỗi khi có 1 nhân sĩ tử nạn, Thiên Sơn Đồng Lão được hồi lại [HealWhenOtherDeadEffect_param1_2]% Sinh Lực","Each time a Hero dies, recovers [HealWhenOtherDeadEffect_param1_2]% HP"
ChargeAttack,Thiên Sơn Chiết Mai Thủ,Charge Attack
ChargeAttack_des,"2 tay chụm lại, 5 đầu ngón tay hướng về phía địch, tự rút [param2_0]% Sinh Lực của bản thân, đâm mạnh về phía kẻ địch gây sát thương tổng cộng bằng [param1_0]% Sức Tấn Công + [param3_0]x( số Sinh Lực mất )","Combines a pair of scythes into a single weapon, sacrifices [param2_0]% of Hero’s HP, unleashing a powerful attack upon the enemy that deals total damage equal to [param1_0]% ATK plus the amount of HP lost x[param3_0]"
ChargeAttack_level2_des,Kẻ địch dính đòn bị phế võ công [SilenceEffect_duration_1]s,Hit enemies are rendered Silent for [SilenceEffect_duration_1] s
ChargeAttack_level3_des,Tăng lượng Sinh Lực rút lên thành [param2_2]%,Sacrificed HP is increased to [param2_2]%
BatSwarm,Thảo Thượng Phi,Swarm of Bats
BatSwarm_des,"Triệu hồi [param4_0] con dơi tấn công [param5_0] kẻ địch trong [param3_0]s. Mỗi con dơi có [param1_0]% Sức Tấn Công, bị dính sát thương sẽ biến mất. Mỗi cú tấn công của dơi sẽ hồi sinh lực cho Thanh Dực Bức Vương theo 25% sinh lực kẻ địch mất đi.","Summons [param4_0] bats to attack [param5_0] enemies for [param3_0] s, each bat possessing [param1_0]% ATK. Bats will die after receiving an attack. Each time a bat attacks, Hero recovers an amount of HP equal to 25% damage dealt"
BatSwarm_level2_des,Tăng Sát Thương của dơi lên thành [param1_1]%,Bat ATK is increased to [param1_1]%
BatSwarm_level3_des,"Dơi dính 2 lần sát thương mới chết, tuy nhiên dơi sẽ bị giảm [ReduceAtkWhenGetHitEffect_param1_2]% Sức Tấn Công mỗi khi bị dính sát thương","Bat can withstand 1 more attack, but ATK is reduced by [ReduceAtkWhenGetHitEffect_param1_2]% after the first attack"
BatSwarm_level4_des,Dơi không bị giảm sát thương khi trúng đòn,
MultiStrike,Hàn Băng Miên Chưởng,Multi-Strike
MultiStrike_des,"Tấn công liên tục [param3_0] phát về kẻ địch phía trước, gây sát thương bằng tổng cộng [param1_0]% Sức Tấn Công. Mỗi phát phục hồi cho Thanh Dực Bức Vương [param2_0]% Sinh Lực","Continuously strikes [param3_0] attacks to an enemy to deal a total of [param1_0]% damage, with each attack recovers [param2_0]% HP to Hero"
MultiStrike_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
MultiStrike_level3_des,Tăng Sinh Lực phục hồi mỗi phát lên thành [param2_2]%,HP recovered by each attack increased to [param2_2]%
VampirePassive,Hàn Độc Phệ,Vampire Passive
VampirePassive_des,"Mỗi khi có nhân sĩ bị chết, Thanh Dực Bức Vương nhận được [RaiseAtkEffect_param1_0]% Sức Tấn Công, [AddLifeLeechEffect_param1_0]% Hấp Huyết trong [RaiseAtkEffect_duration_0]s ( không xếp chồng)","Every time a hero dies, she'll receive a buff that increases [RaiseAtkEffect_param1_0]% ATK, [AddLifeLeechEffect_param1_0] LifeSteal in [RaiseAtkEffect_duration_0]s ( no effect stack )"
VampirePassive_level2_des,"Tăng [RaiseAtkEffect_param1_1]% Sức Tấn Công, [AddLifeLeechEffect_param1_1]% Hấp Huyết","buff now increases [RaiseAtkEffect_param1_1]% ATK, [AddLifeLeechEffect_param1_1] LifeSteal"
VampirePassive_level3_des,"Tăng [RaiseAtkEffect_param1_2]% Sức Tấn Công, [AddLifeLeechEffect_param1_2]% Hấp Huyết","buff now increases [RaiseAtkEffect_param1_2]% ATK, [AddLifeLeechEffect_param1_2] LifeSteal"
Link,Thần Xuất Quỷ Một,Link
Link_des,"Thanh Dực Bức Vương kết nối bản thân với 1 đồng đội ở phía sau, sát thương Thanh Dực Bức Vương nhận vào sẽ chia [ShareDmgEffect_param1_0]% với đồng đội đó",Links with an ally behind so that [ShareDmgEffect_param1_0]% of received damage is shared with that ally
Link_level2_des,Đồng đội được hồi [ShareHealEffect_param1_1]% số Sinh Lực Thanh Dực Bức Vương được hồi,Ally recovers an amount of HP equal to [ShareHealEffect_param1_1]% of HP recovered by Hero
Link_level3_des,Đồng đội được hồi [ShareHealEffect_param1_2]% số Sinh Lực Thanh Dực Bức Vương được hồi,Ally recovers an amount of HP equal to [ShareHealEffect_param1_2]% of HP recovered by Hero
MassSeduce,Câu Hồn Nhiếp Phách,Mass Seduction
MassSeduce_des,"Thôi miên toàn bộ nam đệ tử của đối phương: đi vào giấc ngủ [SleepEffect_duration_0]s, nhận sát thương bằng [param1_0]% Sức Tấn Công mỗi giây","Seduces all enemy males, hypnotizing them for [SleepEffect_duration_0] s and dealing [param1_0]% damage/s"
MassSeduce_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công mỗi giây,Damage is increased to [param1_1]%/s
MassSeduce_level3_des,Tăng thời gian tác dụng lên [SleepEffect_duration_2]s,Effect duration is increased to [SleepEffect_duration_2] s
MassSeduce_level4_des,Hết thời gian ngủ thì bị giảm [param2_3]% Sức Tấn Công trong 3s,
BrainSap,Truy Hồn Đoạt Mệnh,Brain Sap
BrainSap_des,"Gây sát thương bằng [param1_0]% Sức Tấn Công vào một kẻ địch, Nhậm Doanh Doanh được hồi phục Sinh Lực bằng [param2_0]% sinh lực kẻ địch mất đi","Deals [param1_0]% damage to an enemy, and recovers an amount of HP equal to [param2_0]% of damage dealt"
BrainSap_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
BrainSap_level3_des,Tấn công đồng thời 2 kẻ địch,Enemies attacked at once is increased to 2
LifeTransfer,Phù Quang Lược Ảnh,Life Transfer
LifeTransfer_des,"Nhậm Doanh Doanh rút [param1_0]% Sinh Lực của bản thân, phục hồi cho 2 đồng đội lượng Sinh Lực bằng [param2_0]% số Sinh Lực mà Nhậm Doanh Doanh mất","Sacrifices [param1_0]% of self HP, restoring a pair of allies with HP equal to [param2_0]% of HP lost"
LifeTransfer_level2_des,Tăng số Sinh Lực rút lên [param1_1]%,Sacrificed HP is increased to [param1_1]%
LifeTransfer_level3_des,Tăng số Sinh Lực rút lên [param1_2]%,Sacrificed HP is increased to [param1_2]%
Dancer,Thiên La Ma Vũ,Dancing
Dancer_des,"Bắt đầu trận đánh, Nhậm Doanh Doanh nhảy múa tăng [RaiseAtkSpeedInternalEffect_param1_0]% tốc độ đánh cho cả đội trong [RaiseAtkSpeedInternalEffect_duration_0]s","At battle start, dances to grant party buff that increases ATK speed by [RaiseAtkSpeedInternalEffect_param1_0]% for [RaiseAtkSpeedInternalEffect_duration_0] s"
Dancer_level2_des,Tăng [RaiseAtkSpeedInternalEffect_param1_1]% tốc độ đánh,ATK speed is increased by [RaiseAtkSpeedInternalEffect_param1_1]%
Dancer_level3_des,Tăng thời gian tác dụng lên thành [RaiseAtkSpeedInternalEffect_duration_2]s,Effect duration is increased to [RaiseAtkSpeedInternalEffect_duration_2] s
ShadowDance,Nhật Nguyệt Quang Minh,Shadow Dance
ShadowDance_des,"Dùng nội lực tạo màn lửa cháy sáng quanh người, khiến địch không thể chạm vào. Đồng thời, Dương Tiêu được tăng [RaiseAtkSpeedInternalEffect_param1_0]% tốc độ đánh. Thời gian tác dụng [RaiseAtkSpeedInternalEffect_duration_0]s","Disguises the body in smoke to render enemies unable to target, while also increasing Hero’s ATK speed by [RaiseAtkSpeedInternalEffect_param1_0]% for [RaiseAtkSpeedInternalEffect_duration_0] s"
ShadowDance_level2_des,"Trong trạng thái này, [ModifyReceiveSkillDmgEffect_param1_1]% sát thương chiêu thức phải nhận","When in effect, Skill damage is reduced by [ModifyReceiveSkillDmgEffect_param1_1]%"
ShadowDance_level3_des,Tăng thời gian tác dụng lên thành [RaiseAtkSpeedInternalEffect_duration_2]s,Effect duration is increased to [RaiseAtkSpeedInternalEffect_duration_2] s
ShadowDance_level4_des,"Tăng [RaiseAtkSpeedInternalEffect_param1_3]% Tốc Độ Tấn Công, thời gian duy trì giảm xuống còn [RaiseAtkSpeedInternalEffect_duration_3]s",
BlinkAttack,Đàn Chỉ Thần Công,Blink Attack
BlinkAttack_des,"Nhảy đến trước mặt một kẻ địch, dùng đá búng về phía hắn gây sát thương bằng [param1_0]% Sức Tấn Công. Ưu tiên tấn công vào nữ đệ tử","Blinks to an enemy, prioritizing females, to deal [param1_0]% damage"
BlinkAttack_level2_des,Tăng sát thương lên thành [param1_1]% Sức Tấn Công,Damage is increased to [param1_1]%
BlinkAttack_level3_des,Kẻ địch bị phế võ công trong [SilenceEffect_duration_2]s,Enemy is rendered Silent for [SilenceEffect_duration_2] s
IncubusPassive,Tiêu Dao Đào Hoa,Incubus Passive
IncubusPassive_des,Dương Tiêu được tăng [RaiseAtkWhenAttackFemaleEffect_param1_0]% Sức Tấn Công khi tấn công nữ đệ tử,"When attacking a female enemy, ATK is increased by [RaiseAtkWhenAttackFemaleEffect_param1_0]%"
IncubusPassive_level2_des,Dương Tiêu được tăng [AddCritWhenAttackFemaleEffect_param1_1] Sát Thương Bạo Kích khi tấn công nữ đệ tử,"When attacking a female enemy, CRIT is increased by [AddCritWhenAttackFemaleEffect_param1_1]"
IncubusPassive_level3_des,Dương Tiêu được tăng [RaiseAtkWhenAttackFemaleEffect_param1_2]% Sức Tấn Công khi tấn công nữ đệ tử,"When attacking a female enemy, ATK is increased by [RaiseAtkWhenAttackFemaleEffect_param1_2]%"
EscapePassive,Nhị Trùng Na Di,Escape Charge
EscapePassive_des,"Mỗi khi mất [AutoBlinkBaseOnMaxHPLostEffect_param1_0]% Sinh Lực, Dương Tiêu lập tức thi triển Đàn Chỉ Thần Công nhảy sang một mục tiêu khác","Upon losing [AutoBlinkBaseOnMaxHPLostEffect_param1_0]% HP, casts Blink Attack to switch to another target"
EscapePassive_level2_des,Tăng [AutoBlinkBaseOnMaxHPLostEffect_param2_1] Né Tránh trong [AutoBlinkBaseOnMaxHPLostEffect_param3_1]s,Increases Evasion by [AutoBlinkBaseOnMaxHPLostEffect_param2_1] for [AutoBlinkBaseOnMaxHPLostEffect_param3_1] s
EscapePassive_level3_des,"Mỗi khi mất [AutoBlinkBaseOnMaxHPLostEffect_param1_2]% Sinh Lực , Dương Tiêu lập tức thi triển Đàn Chỉ Thần Công nhảy sang một mục tiêu khác","Upon losing [AutoBlinkBaseOnMaxHPLostEffect_param1_2]% HP, casts Blink Attack to switch to another target"
DragoonJump,Lăng Hư Điểm Chỉ,Dragoon Jump
DragoonJump_des,"Nhảy lên trời biến mất sau đó xuất hiện trên đầu kẻ địch, dùng chỉ pháp tấn công gây sát thương bằng [param1_0]% Sức Tấn Công và làm ngã các kẻ địch xung quanh","Hero jumps up and throws a spear downward, dealing [param1_0]% AOE damage and knocking down all enemies around"
DragoonJump_level2_des,"Tăng gấp đôi tầm tấn công, kẻ địch ở trong tầm ảnh hưởng mở rộng chỉ nhận một nửa Sát Thương và không bị ngã","AOE diameter doubles, with enemies inside the expanded area receiving only 50% damage, without getting knocked down"
DragoonJump_level3_des,Tăng sát thương lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
DragoonJump_level4_des,Những kẻ trúng đòn bị mất [param2_3] Nội Lực,
StrongHeart,Mộ Dung Tâm Pháp,Strong Heart
StrongHeart_des,Tăng [RaiseMaxHPEffect_param1_0]% Sinh Lực Tối Đa,MAX HP is increased by [RaiseMaxHPEffect_param1_0]%
